filename,class
fb7008b0_nohash_0.wav,yes
c39703ec_nohash_4.wav,yes
c50f55b8_nohash_18.wav,yes
c0cb43d6_nohash_0.wav,yes
589bce2c_nohash_1.wav,yes
b2ae3928_nohash_1.wav,yes
5f9cd2eb_nohash_5.wav,yes
47d01978_nohash_0.wav,yes
2927c601_nohash_1.wav,yes
9886d8bf_nohash_0.wav,yes
73f20b00_nohash_0.wav,yes
46a153d8_nohash_0.wav,yes
e1469561_nohash_3.wav,yes
459345ea_nohash_1.wav,yes
4b25f620_nohash_2.wav,yes
e269bac0_nohash_0.wav,yes
9fac5701_nohash_2.wav,yes
a04817c2_nohash_0.wav,yes
62605293_nohash_0.wav,yes
54ad8f22_nohash_3.wav,yes
c099668c_nohash_2.wav,yes
d21fd169_nohash_4.wav,yes
fe11e258_nohash_0.wav,yes
cc6ee39b_nohash_1.wav,yes
23da904f_nohash_3.wav,yes
ece1a95a_nohash_0.wav,yes
b308773d_nohash_3.wav,yes
29fb33da_nohash_1.wav,yes
72e382bd_nohash_3.wav,yes
964e8cfd_nohash_2.wav,yes
890cc926_nohash_2.wav,yes
c9b653a0_nohash_3.wav,yes
6f2f57c1_nohash_2.wav,yes
55463c16_nohash_0.wav,yes
f5733968_nohash_2.wav,yes
3102f006_nohash_2.wav,yes
fa57ab3b_nohash_0.wav,yes
a6f2fd71_nohash_4.wav,yes
b69002d4_nohash_0.wav,yes
96d5276f_nohash_0.wav,yes
d21fd169_nohash_2.wav,yes
311fde72_nohash_0.wav,yes
e2362167_nohash_0.wav,yes
c50f55b8_nohash_11.wav,yes
cb72dfb6_nohash_1.wav,yes
ce49cb60_nohash_1.wav,yes
8ec6dab6_nohash_0.wav,yes
da040491_nohash_4.wav,yes
d7ca14ef_nohash_0.wav,yes
b80d6c5e_nohash_0.wav,yes
a489191a_nohash_1.wav,yes
0d6d7360_nohash_2.wav,yes
d278d8ef_nohash_4.wav,yes
66774579_nohash_0.wav,yes
3a929277_nohash_0.wav,yes
f6617a86_nohash_1.wav,yes
333784b7_nohash_1.wav,yes
e102119e_nohash_0.wav,yes
6982fc2a_nohash_1.wav,yes
50f55535_nohash_1.wav,yes
d8c314c0_nohash_1.wav,yes
3847619e_nohash_0.wav,yes
64df20d8_nohash_4.wav,yes
59c3a7f2_nohash_0.wav,yes
b2ae3928_nohash_4.wav,yes
0f46028a_nohash_2.wav,yes
637c702a_nohash_1.wav,yes
1ecfb537_nohash_4.wav,yes
ab1299bb_nohash_0.wav,yes
51055bda_nohash_0.wav,yes
bdee441c_nohash_1.wav,yes
dc2222d7_nohash_1.wav,yes
ff4ed4f3_nohash_1.wav,yes
cce7416f_nohash_6.wav,yes
94de6a6a_nohash_2.wav,yes
ccb1266b_nohash_1.wav,yes
98ea0818_nohash_5.wav,yes
4c6944d6_nohash_5.wav,yes
833d9f56_nohash_4.wav,yes
161fcca8_nohash_0.wav,yes
67fcdb05_nohash_0.wav,yes
a05a90c1_nohash_1.wav,yes
f30285c8_nohash_3.wav,yes
042a8dde_nohash_0.wav,yes
113b3fbc_nohash_1.wav,yes
c6ee87a7_nohash_2.wav,yes
87070229_nohash_0.wav,yes
099d52ad_nohash_3.wav,yes
637c702a_nohash_2.wav,yes
f2f0d244_nohash_3.wav,yes
3a69f765_nohash_0.wav,yes
617aeb6c_nohash_4.wav,yes
2dce72b3_nohash_0.wav,yes
686d030b_nohash_1.wav,yes
e882abb2_nohash_0.wav,yes
099d52ad_nohash_1.wav,yes
513aeddf_nohash_1.wav,yes
6f9088d7_nohash_0.wav,yes
652b3da7_nohash_0.wav,yes
3efa7ec4_nohash_0.wav,yes
6a2fb9a5_nohash_0.wav,yes
ad63d93c_nohash_4.wav,yes
9b5815cd_nohash_0.wav,yes
4634529e_nohash_0.wav,yes
f7879738_nohash_0.wav,yes
1496195a_nohash_2.wav,yes
23059a35_nohash_1.wav,yes
56abe7dc_nohash_0.wav,yes
57b38f48_nohash_0.wav,yes
a7216980_nohash_1.wav,yes
be7a5b2d_nohash_2.wav,yes
6aa8def4_nohash_1.wav,yes
15dd287d_nohash_2.wav,yes
712e4d58_nohash_0.wav,yes
0e6e36c9_nohash_4.wav,yes
b49caed3_nohash_2.wav,yes
4b25f620_nohash_0.wav,yes
fb8c31a9_nohash_0.wav,yes
e54a0f16_nohash_2.wav,yes
6094340e_nohash_0.wav,yes
3102f006_nohash_1.wav,yes
a6f2fd71_nohash_1.wav,yes
73f20b00_nohash_4.wav,yes
439c84f4_nohash_2.wav,yes
d0858dce_nohash_0.wav,yes
cd85758f_nohash_2.wav,yes
d3831f6a_nohash_1.wav,yes
9aa21fa9_nohash_2.wav,yes
4cee0c60_nohash_4.wav,yes
c842b5e4_nohash_0.wav,yes
e0c782d5_nohash_1.wav,yes
692a88e6_nohash_2.wav,yes
50d1c8e3_nohash_0.wav,yes
627c0bec_nohash_0.wav,yes
e91d173e_nohash_1.wav,yes
2fcb6397_nohash_2.wav,yes
d278d8ef_nohash_1.wav,yes
bde0f20a_nohash_5.wav,yes
86402da1_nohash_0.wav,yes
65f2531f_nohash_0.wav,yes
b4ea0d9a_nohash_7.wav,yes
9f92fb7c_nohash_0.wav,yes
7fb8d703_nohash_2.wav,yes
ceaadb24_nohash_1.wav,yes
ec201020_nohash_2.wav,yes
363c6bad_nohash_2.wav,yes
ab9b93e4_nohash_2.wav,yes
57152045_nohash_4.wav,yes
fac74f6a_nohash_0.wav,yes
cce7416f_nohash_3.wav,yes
74241b28_nohash_0.wav,yes
f8f60f59_nohash_3.wav,yes
1c6e5447_nohash_0.wav,yes
3d86b69a_nohash_1.wav,yes
f9bdf10e_nohash_0.wav,yes
6ace4fe1_nohash_2.wav,yes
ab5ae445_nohash_1.wav,yes
